year	odometer
1960	38000
1968	254832
1970	47000
1974	350000
1975	280000
1976	689999.6667
1977	187967.75
1978	206666.6667
1979	131685.8571
1980	231022.1
1981	235666.6667
1982	348901.8519
1983	341908.6111
1984	371585.0149
1985	351646.1579
1986	330402.9081
1987	322951.5049
1988	344977.8838
1989	325007.6372
1990	320781.1554
1991	355491.0778
1992	322573.4324
1993	330139.6437
1994	326382.429
1995	334302.8958
1996	325542.6478
1997	318528.0366
1998	319269.3654
1999	313840.0187
2000	314398.0633
2001	308095.34
2002	303113.7241
2003	290318.063
2004	278943.5572
2005	269437.3782
2006	254057.3804
2007	231235.0205
2008	208934.7773
2009	196067.6921
2010	183867.9464
2011	164681.1019
2012	146654.6909
2013	126150.3873
2014	112571.7082
2015	115605.8012
2016	95804.40966
2017	57176.32258
2018	29999.80102
2019	12223.64706
